-45,43,-27
-46,42,-26
-47,42,-24
-47,42,-22
-47,41,-18
-46,40,-18
-46,39,-19
-51,36,-23
-51,36,-24
-51,35,-20
-55,35,-22
-58,34,-20
-56,33,-18
-52,29,-21
-51,28,-27
-53,26,-37
-54,26,-40
-52,28,-43
-50,29,-40
-47,30,-36
-47,29,-33
-47,29,-33
-48,29,-34
-47,30,-33
-47,30,-34
-47,30,-33
-48,29,-34
-48,29,-35
-48,29,-34
-48,30,-35
-47,30,-36
-50,31,-37
-50,32,-42
-53,33,-47
-55,31,-42
-53,28,-27
-52,29,-25
-49,27,-18
-50,31,-18
-44,36,-14
-46,38,-15
-56,41,-18
-57,40,-15
-60,40,-14
-58,41,-14
-52,42,-12
-50,41,-12
-50,43,-14
-48,42,-12
-49,41,-9
-46,40,-4
-43,40,-2
-46,40,1
-46,40,4
-52,42,0
-54,41,3
-49,39,7
-49,40,6
-44,42,7
-45,43,6
-48,45,3
-48,48,1
-48,46,1
-53,42,6
-55,39,9
-47,33,17
-42,32,18
-57,35,3
-52,39,0
-48,51,-11
-48,53,-13
-50,53,-14
-53,50,-14
-54,42,-5
-47,32,11
-54,31,11
-59,31,4
-56,32,4
-54,35,1
-52,39,-1
-52,47,-6
-51,49,-9
-49,50,-11
-49,48,-10
-48,42,-5
-50,38,-3
-59,32,8
-54,28,14
-49,27,13
-59,39,-1
-53,46,-3
-48,52,-11
-49,52,-13
-50,45,-10
-53,41,-5
-52,32,6
-51,30,8
-55,29,6
-59,29,6
-62,30,0
-56,33,0
-55,36,-5
-54,39,-6
-55,39,-9
-57,40,-11
-56,41,-12
-54,40,-12
-50,40,-11
-49,40,-9
-53,40,-12
-53,39,-10
-51,40,-9
-53,40,-10
-54,40,-11
-55,39,-9
-53,38,-9
-53,38,-9
-56,37,-11
-54,35,-9
-51,35,-5
-51,35,-5
-55,34,-5
-56,34,-6
-53,35,-6
-52,39,-10
-47,42,-14
-39,44,-19
-25,50,-37
-14,49,-55
-34,46,-113
-82,44,-84
-60,41,-55
-21,39,-38
-37,38,-39
-26,33,-20
-27,37,-25
-20,42,-28
-12,42,-24
-20,44,-27
-9,45,-24
-20,48,-29
-17,48,-29
-30,50,-26
-27,52,-31
-20,52,-31
-16,56,-32
-11,58,-31
-11,61,-32
-16,61,-34
-20,57,-33
-22,56,-32
-23,54,-33
-22,53,-32
-25,49,-29
-20,47,-24
-20,51,-26
-17,56,-31
-16,56,-32
-20,56,-32
-19,54,-30
-22,57,-33
-23,56,-30
-18,58,-30
-17,58,-31
-14,55,-31
-17,55,-32
-22,54,-29
-22,54,-28
-23,52,-29
-24,52,-29
-24,50,-28
-17,52,-27
-17,53,-27
-19,54,-31
-18,53,-29
-25,51,-33
-27,50,-30
-38,47,-28
-35,47,-32
-12,47,-30
-13,47,-27
-25,49,-36
-26,49,-38
-23,48,-37
-21,45,-34
-26,45,-34
-39,44,-41
-42,45,-44
-40,46,-43
-40,46,-40
-39,46,-32
-39,45,-31
-42,43,-31
-43,43,-33
-42,42,-33
-42,42,-32
-44,41,-33
-42,40,-32
-41,40,-31
-40,39,-30
-40,39,-29
-43,39,-28
-44,39,-28
-45,40,-28
-46,39,-28
-47,39,-28
-47,38,-27
-46,38,-27
-45,37,-26
-44,37,-26
-44,38,-26
-44,39,-27
-45,39,-28
-45,40,-29
-46,39,-31
-47,39,-32
-47,38,-30
-46,37,-31
-45,36,-30
-46,36,-30
-44,36,-29
-44,37,-29
-43,37,-29
-45,37,-30
-45,38,-30
-45,38,-30
-45,37,-30
-46,37,-30
-46,37,-30
-45,38,-30
-45,38,-31
